latitude,longitude,cumulative_distance_m,altitude_m,bearing_deg,slope_pct
-26.8178,27.8322,0.0,1481.55065016609,0.0,0.26223792448836325
-26.815573508771926,27.829129824561402,500.0,1482.8618397885318,309.0962887136423,0.20717986064887556
-26.813347017543858,27.826059649122808,1000.0,1483.6224487725788,309.0957379511916,0.10117446097544872
-26.811120526315786,27.82298947368421,1500.0,1483.8735843982863,309.0951872440916,0.004966229874980854
-26.808894035087718,27.819919298245615,2000.0,1483.6721110713286,309.09463659242954,-0.07870765495742944
-26.806667543859646,27.816849122807017,2500.0,1483.086507848712,309.0940859961532,-0.14798543042245454
-26.804441052631578,27.813778947368423,3000.0,1482.192256767104,309.09353545514944,-0.20194657101478697
-26.802214561403506,27.810708771929825,3500.0,1481.0670421385641,309.0929849696065,-0.2406208705478775
-26.799988070175438,27.807638596491227,4000.0,1479.7860480616253,309.0924345393387,-0.2649410596910457
-26.797761578947366,27.804568421052632,4500.0,1478.4176315416537,309.09188416454384,-0.2766425580736723
-26.795535087719298,27.801498245614034,5000.0,1477.0196224808885,309.0913338449618,-0.2781170544858469
-26.793308596491226,27.79842807017544,5500.0,1475.6364609967952,309.0907835809201,-0.2722292954498243
-26.791082105263158,27.795357894736842,6000.0,1474.2973295263903,309.0902333720862,-0.2621085842191406
-26.788855614035086,27.792287719298248,6500.0,1473.0153751546038,309.0896832187875,-0.2509279255425099
-26.786629122807017,27.78921754385965,7000.0,1471.7880502709652,309.08913312057143,-0.24168441337094462
-26.784402631578946,27.78614736842105,7500.0,1470.5985310208944,309.08858307789313,-0.23699431158941023
-26.782176140350874,27.783077192982457,8000.0,1469.418107155071,309.08803309058993,-0.2389153319303887
-26.779949649122806,27.78000701754386,8500.0,1468.2093777015905,309.0874831584017,-0.2488069255713981
-26.777723157894734,27.776936842105265,9000.0,1466.930037899357,309.08693328181624,-0.26723707623764315
-26.775496666666665,27.773866666666667,9500.0,1465.537006939214,309.0863834603808,-0.2939412513055231
-26.773270175438594,27.77079649122807,10000.0,1463.9906253863019,309.0858336943503,-0.3278360013493057
-26.771043684210525,27.767726315789474,10500.0,1462.258646925721,309.0852839836422,-0.3670863853686342
-26.768817192982453,27.764656140350876,11000.0,1460.3197615326155,309.0847343283569,-0.40922313479684364
-26.766590701754385,27.761585964912282,11500.0,1458.1664155777526,309.084184728181,-0.45130244764250166
-26.764364210526313,27.758515789473684,12000.0,1455.8067370561905,309.08363518362313,-0.49009870382901677
-26.762137719298245,27.75544561403509,12500.0,1453.2654285394624,309.0830856941696,-0.5223183682638591
-26.759911228070173,27.75237543859649,13000.0,1450.583553373552,309.0825362601288,-0.5448220198300987
-26.757684736842105,27.749305263157893,13500.0,1447.8172083411614,309.081986881315,-0.5548408918505401
-26.755458245614033,27.7462350877193,14000.0,1445.0351444550465,309.0814375580062,-0.5501745665026192
-26.753231754385965,27.7431649122807,14500.0,1442.3154626761352,309.08088828974195,-0.5293575183942267
